,customer_id,gender,age,zip_code,city,state,order_id,payment,order_date,delivery_date,sales_id,product_id,price_per_unit,total_price,product_ID,product_type,product_name,size,colour,price,order_quantity,stock_quantity,difference_days,order_year,order_month,order_day,delivery_year,delivery_month,delivery_day
0,1,Female,30,5464,Johnstonhaven,Northern Territory,455,24550,2021-04-04,2021-04-06,2245,211,106,318,211,Shirt,Chambray,S,red,105,3,72,2 days,2021,4,Sunday,2021,4,Tuesday
1,1,Female,30,5464,Johnstonhaven,Northern Territory,455,24550,2021-04-04,2021-04-06,2246,783,91,182,783,Jacket,Pullover,L,yellow,114,2,43,2 days,2021,4,Sunday,2021,4,Tuesday
2,1,Female,30,5464,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,3324,525,98,196,525,Jacket,Leather,XS,red,113,2,67,26 days,2021,3,Saturday,2021,4,Thursday
3,1,Female,30,5464,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,3325,792,91,182,792,Jacket,Pullover,M,blue,114,2,44,26 days,2021,3,Saturday,2021,4,Thursday
4,1,Female,30,5464,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,3326,179,98,98,179,Shirt,Camp Collared,XL,red,112,1,79,26 days,2021,3,Saturday,2021,4,Thursday
5,1,Female,30,5464,Johnstonhaven,Northern Territory,670,10246,2021-03-06,2021-04-01,3327,789,91,273,789,Jacket,Pullover,XL,green,114,3,65,26 days,2021,3,Saturday,2021,4,Thursday
6,1,Female,30,5464,Johnstonhaven,Northern Territory,729,35593,2021-02-18,2021-03-01,3639,197,98,294,197,Shirt,Camp Collared,M,blue,112,3,65,11 days,2021,2,Thursday,2021,3,Monday
7,1,Female,30,5464,Johnstonhaven,Northern Territory,729,35593,2021-02-18,2021-03-01,3640,558,98,98,558,Jacket,Leather,L,violet,113,1,78,11 days,2021,2,Thursday,2021,3,Monday
8,7,Bigender,76,793,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,2292,1118,115,345,1118,Trousers,Cropped,L,violet,99,3,40,2 days,2021,5,Friday,2021,5,Sunday
9,7,Bigender,76,793,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,2293,1259,112,224,1259,Trousers,Tracksuit Bottoms,XL,violet,91,2,60,2 days,2021,5,Friday,2021,5,Sunday
10,7,Bigender,76,793,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,2294,811,117,117,811,Jacket,Shearling,S,orange,95,1,53,2 days,2021,5,Friday,2021,5,Sunday
11,7,Bigender,76,793,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,2295,408,119,119,408,Shirt,Casual Slim Fit,L,blue,113,1,75,2 days,2021,5,Friday,2021,5,Sunday
12,7,Bigender,76,793,Masonfurt,Queensland,465,48935,2021-05-21,2021-05-23,2296,1010,106,212,1010,Trousers,Wool,XS,violet,111,2,80,2 days,2021,5,Friday,2021,5,Sunday
13,10,Bigender,70,2118,Joelburgh,Western Australia,595,45626,2021-03-09,2021-03-29,2990,1023,90,270,1023,Trousers,Relaxed Leg,L,orange,95,3,78,20 days,2021,3,Tuesday,2021,3,Monday
14,11,Agender,39,7400,Georgeland,Northern Territory,560,41952,2021-05-28,2021-06-05,2800,144,91,182,144,Shirt,Linen,XL,red,116,2,47,8 days,2021,5,Friday,2021,6,Saturday
15,11,Agender,39,7400,Georgeland,Northern Territory,560,41952,2021-05-28,2021-06-05,2801,590,100,200,590,Jacket,Bomber,XS,violet,90,2,75,8 days,2021,5,Friday,2021,6,Saturday
16,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,630,770,91,91,770,Jacket,Pullover,XS,red,114,1,54,12 days,2021,6,Saturday,2021,7,Thursday
17,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,631,516,102,204,516,Jacket,Windbreaker,S,indigo,109,2,62,12 days,2021,6,Saturday,2021,7,Thursday
18,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,632,989,106,212,989,Trousers,Wool,XL,orange,111,2,56,12 days,2021,6,Saturday,2021,7,Thursday
19,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,633,407,119,238,407,Shirt,Casual Slim Fit,M,blue,113,2,61,12 days,2021,6,Saturday,2021,7,Thursday
20,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,634,840,113,226,840,Trousers,Chinos,XS,red,100,2,69,12 days,2021,6,Saturday,2021,7,Thursday
21,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,635,185,98,196,185,Shirt,Camp Collared,XS,yellow,112,2,55,12 days,2021,6,Saturday,2021,7,Thursday
22,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,636,653,93,279,653,Jacket,Coach,L,blue,115,3,80,12 days,2021,6,Saturday,2021,7,Thursday
23,12,Bigender,78,6334,Taylorburgh,South Australia,134,39451,2021-06-19,2021-07-01,637,1194,105,105,1194,Trousers,Pleated,XL,red,90,1,58,12 days,2021,6,Saturday,2021,7,Thursday
24,13,Male,42,6170,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,1980,503,102,102,503,Jacket,Windbreaker,L,yellow,109,1,70,15 days,2021,9,Tuesday,2021,10,Wednesday
25,13,Male,42,6170,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,1981,472,118,118,472,Jacket,Puffer,M,green,110,1,72,15 days,2021,9,Tuesday,2021,10,Wednesday
26,13,Male,42,6170,Maddisonmouth,Queensland,398,31626,2021-09-28,2021-10-13,1982,611,112,112,611,Jacket,Cardigan,S,green,118,1,62,15 days,2021,9,Tuesday,2021,10,Wednesday
27,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,973,758,109,327,758,Jacket,Peacoat,L,blue,102,3,64,14 days,2021,8,Tuesday,2021,9,Tuesday
28,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,974,1158,99,198,1158,Trousers,High-Waisted,L,red,98,2,52,14 days,2021,8,Tuesday,2021,9,Tuesday
29,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,975,964,97,194,964,Trousers,Slim-Fit,XL,green,119,2,67,14 days,2021,8,Tuesday,2021,9,Tuesday
30,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,976,135,92,184,135,Shirt,Denim,XS,violet,115,2,73,14 days,2021,8,Tuesday,2021,9,Tuesday
31,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,977,842,113,339,842,Trousers,Chinos,M,red,100,3,54,14 days,2021,8,Tuesday,2021,9,Tuesday
32,15,Genderfluid,34,491,Kiehnburgh,Western Australia,200,50335,2021-08-24,2021-09-07,978,992,106,106,992,Trousers,Wool,M,yellow,111,1,43,14 days,2021,8,Tuesday,2021,9,Tuesday
33,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4975,564,100,300,564,Jacket,Bomber,XL,red,90,3,62,14 days,2021,4,Wednesday,2021,4,Wednesday
34,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4976,837,117,117,837,Jacket,Shearling,M,violet,95,1,74,14 days,2021,4,Wednesday,2021,4,Wednesday
35,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4977,536,98,98,536,Jacket,Leather,S,yellow,113,1,41,14 days,2021,4,Wednesday,2021,4,Wednesday
36,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4978,756,109,218,756,Jacket,Peacoat,S,blue,102,2,50,14 days,2021,4,Wednesday,2021,4,Wednesday
37,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4979,24,96,288,24,Shirt,Oxford Cloth,XL,blue,114,3,60,14 days,2021,4,Wednesday,2021,4,Wednesday
38,15,Genderfluid,34,491,Kiehnburgh,Western Australia,995,43588,2021-04-14,2021-04-28,4980,244,106,106,244,Shirt,Chambray,XL,violet,105,1,54,14 days,2021,4,Wednesday,2021,4,Wednesday
39,16,Male,75,6438,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,4439,511,102,204,511,Jacket,Windbreaker,S,blue,109,2,41,26 days,2021,10,Monday,2021,11,Saturday
40,16,Male,75,6438,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,4440,930,96,288,930,Trousers,Drawstring,XS,blue,104,3,45,26 days,2021,10,Monday,2021,11,Saturday
41,16,Male,75,6438,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,4441,1222,105,210,1222,Trousers,Pleated,M,violet,90,2,45,26 days,2021,10,Monday,2021,11,Saturday
42,16,Male,75,6438,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,4442,1012,106,318,1012,Trousers,Wool,M,violet,111,3,51,26 days,2021,10,Monday,2021,11,Saturday
43,16,Male,75,6438,New Kai,Victoria,885,27561,2021-10-18,2021-11-13,4443,71,118,236,71,Shirt,Flannel,S,red,96,2,59,26 days,2021,10,Monday,2021,11,Saturday
44,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,924,219,106,106,219,Shirt,Chambray,XL,orange,105,1,57,24 days,2021,1,Friday,2021,2,Monday
45,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,925,1077,93,186,1077,Trousers,Joggers,M,indigo,94,2,66,24 days,2021,1,Friday,2021,2,Monday
46,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,926,130,92,184,130,Shirt,Denim,XS,indigo,115,2,79,24 days,2021,1,Friday,2021,2,Monday
47,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,927,74,118,118,74,Shirt,Flannel,XL,red,96,1,72,24 days,2021,1,Friday,2021,2,Monday
48,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,928,23,96,192,23,Shirt,Oxford Cloth,L,blue,114,2,59,24 days,2021,1,Friday,2021,2,Monday
49,18,Male,79,7171,Walterland,New South Wales,191,31002,2021-01-22,2021-02-15,929,282,105,105,282,Shirt,Cuban Collar,M,red,93,1,53,24 days,2021,1,Friday,2021,2,Monday
50,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1745,620,112,224,620,Jacket,Cardigan,XS,indigo,118,2,70,10 days,2021,2,Friday,2021,3,Monday
51,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1746,324,109,109,324,Shirt,Mandarin Collar,XL,orange,108,1,59,10 days,2021,2,Friday,2021,3,Monday
52,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1747,147,91,91,147,Shirt,Linen,M,orange,116,1,42,10 days,2021,2,Friday,2021,3,Monday
53,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1748,550,98,294,550,Jacket,Leather,XS,indigo,113,3,78,10 days,2021,2,Friday,2021,3,Monday
54,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1749,976,97,97,976,Trousers,Slim-Fit,S,violet,119,1,46,10 days,2021,2,Friday,2021,3,Monday
55,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1750,409,119,238,409,Shirt,Casual Slim Fit,XL,blue,113,2,68,10 days,2021,2,Friday,2021,3,Monday
56,18,Male,79,7171,Walterland,New South Wales,354,33908,2021-02-26,2021-03-08,1751,713,119,357,713,Jacket,Trench Coat,L,yellow,112,3,77,10 days,2021,2,Friday,2021,3,Monday
